StreetAddress,City,State,Zip,County,Country,SPLC,CountryPostalFilter,AbbreviationFormat,StateName,StateAbbreviation,CountryAbbreviation,latitoode,Longitood,Region,Label,PlaceName,TimeZone,ConfidenceLevel,TimeZoneOffset
,,,,,,,,,,,,33.898068,-117.227990,4,,,PDT,Uncertain,GMT-7:00
,,,,,,,,,,,,33.978032,-117.352516,4,,,PDT,Exact,GMT-7:00
,,,,,,,,,,,,34.470937,-117.334317,4,,,PDT,Uncertain,GMT-7:00
,,,,,,,,,,,,34.865359,-116.609850,4,,,PDT,Exact,GMT-7:00
,,,,,,,,,,,,37.701512,-97.331720,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,37.751527,-97.262331,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,37.785759,-122.428842,4,,,PDT,Exact,GMT-7:00
,,,,,,,,,,,,37.974952,-122.536744,4,,,PDT,Exact,GMT-7:00
,,,,,,,,,,,,38.228492,-122.643871,4,,,PDT,Exact,GMT-7:00
,,,,,,,,,,,,40.173784,-75.238138,4,,,EDT,Exact,GMT-4:00
,,,,,,,,,,,,40.262435,-96.745428,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,40.262421,-96.745316,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,40.263278,-96.782176,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,40.265932,-96.753259,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,40.939274,-90.353411,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.162890,-87.894113,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.162757,-87.894785,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.162792,-87.894784,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.162828,-87.894783,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.178809,-75.209564,4,,,EDT,Exact,GMT-4:00
,,,,,,,,,,,,41.324747,-87.794714,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.324717,-87.797091,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.324746,-87.794741,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.390934,-87.652796,4,,,CDT,Good,GMT-5:00
,,,,,,,,,,,,41.398054,-87.737505,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.403004,-87.623757,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.404442,-87.786389,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.404688,-87.735419,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.404351,-87.735531,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.408137,-87.774958,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.407320,-87.735333,4,,,CDT,Exact,GMT-5:00
